hid,type1,type2,month,m_id,q6_1,q6_1_1,q6_1_2,q6_1_3,q6_1_4,q6_1_5,q6_1_6,q6_1_7,q6_1_8,q6_2_a,q6_2_b,q6_2_c,q6_3,q6_4_1,q6_4_2,q6_4_3,q6_4_4,q6_4_5,q6_4_6,q6_4_7,q6_4_8,q6_4_9,q6_4_10,q6_4_11,q6_4_12,q6_4_13,q6_4_1a,q6_4_2a,q6_4_3a,q6_4_4a,q6_4_5a,q6_4_6a,q6_4_7a,q6_4_8a,q6_4_9a,q6_4_10a,q6_4_11a,q6_4_12a,q6_4_13a,q6_5_1,q6_5_2,q6_5_3,q6_5_4,q6_5_5,q6_5_6,q6_5_7,q6_5_8,q6_5_9,q6_5_10,q6_5_11,q6_5_12,q6_5_13,q6_5_14,q6_5_15,q6_5_16,q6_5_17,q6_5_18,q6_5_19,q6_5_20,q6_5_21,q6_6,q6_7,q6_8,q11_b_1_1,q11_b_1_1a,q11_b_1_2,q11_b_1_2a,q11_b_1_3,q11_b_1_3a,q11_b_2_1,q11_b_2_1a,q11_b_2_2,q11_b_2_2a,q11_b_2_3,q11_b_2_3a,q11_b_3_1,q11_b_3_1a,q11_b_3_2,q11_b_3_2a,q11_b_3_3,q11_b_3_3a,q11_b_4_1,q11_b_4_1a,q11_b_4_2,q11_b_4_2a,q11_b_4_3,q11_b_4_3a,q11_b_5_1,q11_b_5_1a,q11_b_5_2,q11_b_5_2a,q11_b_5_3,q11_b_5_3a,q11_b_6_1,q11_b_6_1a,q11_b_6_2,q11_b_6_2a,q11_b_6_3,q11_b_6_3a,q11_b_7_1,q11_b_7_1a,q11_b_7_2,q11_b_7_2a,q11_b_7_3,q11_b_7_3a,q11_b_8_1,q11_b_8_1a,q11_b_8_2,q11_b_8_2a,q11_b_8_3,q11_b_8_3a,q11_b_9_1,q11_b_9_1a,q11_b_9_2,q11_b_9_2a,q11_b_9_3,q11_b_9_3a,wt
12771,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677.101188
12772,1,2,8,112594,939,020,,,,,,,,3,7,4,1,,,,,,,,8,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,40000,,,,,,20000,,,,,,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.10944
12773,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677.101188
12774,1,2,10,101589,911,130,,,,,,,,15,12,10,3,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,4,4,0,,0,,0,,0,,0,,0,,27257,31,0,,0,,23850,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25894,31,0,,0,,2677.101188
12775,1,1,5,101606,939,010,020,,,,,,,7,12,11,1,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,5,6,7,,,,,,,,,,,,,,,4,4,4,,,,,,,100000,31,,,,,40000,31,,,,,330000,31,,,,,30000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.424959
12778,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3704.641548
12782,1,2,11,113838,931,190,,,,,,,,7,1,3,3,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,4,4,4,,,,,,,40000,,,,,,90000,,,,,,260340,,,,,,159200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677.101188
12782,1,1,5,101566,939,010,,,,,,,,7,4,1,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,30000,31,0,,0,,39999,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2677.101188
12785,1,2,7,116382,921,090,,,,,,,,4,1,12,2,,2,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,,,5,,,,,10,,,,,,,,,,,,4,5,4,,,,,,,100000,,,,,,,,,,,,150000,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378.891104
12785,2,1,5,200458,229,008,,,,,,,,1,2,12,3,,2,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,4,,,,,9,,,,,,,,,,,,,4,5,4,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,31,,,,,,,,,,,,,,,,,3378.891104
12785,2,2,10,201090,170,003,,,,,,,,1,12,3,4,,2,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,4,,,,,9,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378.891104
12785,2,1,5,200458,168,002,,,,,,,,1,7,5,5,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,9,,11,,,,,,,,,,,4,4,4,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,31,,,,,,,,,,,,,,,,,3378.891104
12785,2,2,10,201090,128,001,,,,,,,,1,12,2,3,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,9,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,100000,31,,,,,,,,,,,,,,,,,300000,31,,,,,,,,,,,,,,,,,3378.891104
12785,2,1,5,200458,122,001,,,,,,,,1,5,11,5,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,6,,,9,,,,,,,,,,,,,5,4,4,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,31,,,,,,,,,,,,,,,,,3378.891104
12787,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.10944
12789,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.424959
12790,1,1,4,102086,939,020,,,,,,,,2,1,7,8,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,5,,7,,,,,,,,,,,,,,,5,5,5,0,,0,,0,,53333,31,0,,0,,9482,31,0,,0,,144593,31,0,,0,,112593,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4706.424959
12791,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.424959
12792,1,1,5,102290,934,010,330,,,,,,,1,12,14,3,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,4,4,4,,,,,,,227000,31,,,,,300000,31,,,,,300000,31,,,,,200000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677.101188
12792,1,1,5,102290,938,050,,,,,,,,1,12,14,4,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,9,,,,,,,,,,,,,4,4,4,,,,,,,150000,31,,,,,200000,31,,,,,300000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677.101188
12793,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11766.54828
12795,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11766.54828
12798,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11766.54828
12800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.424959
12801,1,2,10,600582,932,400,060,,,,,,,2,7,6,1,,,3,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,85000,31,,,,,78001,31,,,,,153900,31,,,,,3500,31,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,2055.10944
12801,1,2,7,600147,931,370,,,,,,,,4,1,2,1,,,,,,,7,,,,,,,,,,,,,1,,,,,,,1,2,,,5,,,,,,,,,,,,,,,,,5,4,4,,,,,,,70000,31,,,,,100000,31,,,,,130000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.10944
12801,1,2,9,600377,911,240,,,,,,,,1,2,5,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,,,,,5,4,4,,,,,,,,,,,,,,,,,,,60000,31,,,,,60000,31,,,,,,,,,,,20000,31,,,,,,,,,,,,,,,,,2055.10944
12801,2,1,6,200444,171,007,,,,,,,,14,2,7,3,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,19,,,4,4,4,,,,,,,1000000,31,,,,,2000000,31,,,,,,,,,,,,,,,,,,,,,,,1500000,31,,,,,,,,,,,,,,,,,2055.10944
12802,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11766.54828
12803,1,2,7,118004,939,020,,,,,,,,3,4,5,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.424959
12804,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.424959
12805,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054.346023
12806,1,2,7,117268,939,020,,,,,,,,2,4,3,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,10000,,,,,,30000,,,,,,,,,,,,,,,,,,160000,,,,,,,,,,,,,,,,,,2055.10944
